Date,Open,High,Low,Settle,Volume,Interest
2016-06-03,444.75,444.75,436.5,437.95,10.0,313.0
2016-06-06,0.0,0.0,0.0,439.0,0.0,312.0
2016-06-07,444.2,444.4,443.9,444.45,3.0,312.0
2016-06-08,443.1,443.25,443.1,443.0,10.0,312.0
2016-06-09,0.0,0.0,0.0,439.0,0.0,308.0
2016-06-10,434.0,434.0,427.0,428.6,8.0,308.0
2016-06-13,423.75,423.75,422.1,421.05,2.0,306.0
2016-06-14,415.45,416.5,412.2,411.95,12.0,307.0
2016-06-15,414.7,415.0,412.7,412.4,40.0,304.0
2016-06-16,409.85,411.15,409.85,411.5,8.0,334.0
2016-06-17,414.9,417.05,412.5,414.65,43.0,340.0
2016-06-20,426.9,430.0,425.75,429.45,8.0,362.0
2016-06-21,432.2,437.0,431.75,433.45,107.0,360.0
2016-06-22,435.9,435.9,435.9,434.35,1.0,354.0
2016-06-23,438.95,438.95,438.95,442.95,1.0,355.0
2016-06-24,409.6,421.75,409.6,417.35,22.0,354.0
2016-06-27,0.0,0.0,0.0,404.8,0.0,375.0
2016-06-28,411.7,413.65,411.55,410.5,35.0,375.0
2016-06-29,418.5,420.8,418.5,423.1,9.0,390.0
2016-06-30,425.9,431.9,425.9,428.95,6.0,396.0
2016-07-01,430.0,432.55,429.9,431.8,10.0,392.0
2016-07-04,429.7,429.7,428.2,428.55,3.0,398.0
2016-07-05,426.0,426.0,423.9,423.85,18.0,398.0
2016-07-06,414.6,414.6,414.45,415.85,30.0,403.0
2016-07-07,418.0,418.0,418.0,420.05,1.0,423.0
2016-07-08,419.15,428.0,419.15,427.4,4.0,423.0
2016-07-11,433.0,433.0,433.0,434.3,1.0,422.0
2016-07-12,438.8,438.8,438.5,438.9,14.0,421.0
2016-07-13,440.05,440.05,437.5,438.0,61.0,409.0
2016-07-14,443.35,443.85,443.15,441.85,60.0,438.0
2016-07-15,441.05,441.05,439.6,441.2,2.0,422.0
2016-07-18,441.35,441.35,441.35,441.95,10.0,421.0
2016-07-19,441.5,441.5,439.45,441.4,12.0,421.0
2016-07-20,445.9,445.9,445.9,445.7,1.0,432.0
2016-07-21,446.4,446.4,446.4,445.45,1.0,432.0
2016-07-22,445.55,446.25,445.55,446.85,4.0,432.0
2016-07-25,449.3,449.3,449.3,446.3,7.0,433.0
2016-07-26,0.0,0.0,0.0,447.55,0.0,433.0
2016-07-27,449.45,449.6,446.6,446.5,142.0,433.0
2016-07-28,443.25,443.25,441.85,441.4,7.0,575.0
2016-07-29,441.0,443.5,440.75,443.45,9.0,575.0
2016-08-01,436.8,436.8,436.8,438.6,1.0,575.0
2016-08-02,432.35,432.5,431.3,432.2,35.0,575.0
2016-08-03,433.5,434.0,433.5,434.1,2.0,575.0
2016-08-04,437.2,439.85,437.2,438.85,3.0,578.0
2016-08-05,442.2,443.95,441.95,443.5,10.0,577.0
2016-08-08,444.25,444.7,444.25,444.4,3.0,582.0
2016-08-09,446.15,448.0,446.15,449.15,3.0,585.0
2016-08-10,448.75,448.75,448.75,447.45,3.0,586.0
2016-08-11,0.0,0.0,0.0,452.15,0.0,583.0
2016-08-12,451.9,451.9,451.5,450.75,2.0,583.0
2016-08-15,0.0,0.0,0.0,451.15,0.0,585.0
2016-08-16,448.9,448.9,448.9,448.05,1.0,585.0
2016-08-17,446.0,446.0,446.0,444.2,1.0,586.0
2016-08-18,447.75,448.25,447.55,448.35,36.0,585.0
2016-08-19,446.1,446.1,445.0,445.65,12.0,590.0
2016-08-22,448.9,448.9,448.75,444.8,3.0,600.0
2016-08-23,0.0,0.0,0.0,449.4,0.0,599.0
2016-08-24,448.75,448.75,448.45,449.4,2.0,599.0
2016-08-25,446.5,446.95,446.5,447.2,17.0,601.0
2016-08-26,450.8,450.8,450.8,450.25,1.0,616.0
2016-08-29,0.0,0.0,0.0,449.45,0.0,616.0
2016-08-30,453.95,453.95,453.95,453.15,5.0,616.0
2016-08-31,455.0,455.0,455.0,451.75,1.0,621.0
2016-09-01,0.0,0.0,0.0,451.2,0.0,622.0
2016-09-02,457.75,459.75,457.75,460.95,2.0,622.0
2016-09-05,0.0,0.0,0.0,461.5,0.0,624.0
2016-09-06,457.9,457.9,457.9,458.45,1.0,624.0
2016-09-07,0.0,0.0,0.0,460.65,0.0,624.0
2016-09-08,459.7,460.1,453.0,456.85,66.0,624.0
2016-09-09,455.1,455.1,447.15,450.35,135.0,627.0
2016-09-12,443.6,445.1,441.65,445.1,119.0,701.0
2016-09-13,447.2,447.2,439.0,440.1,114.0,659.0
2016-09-14,442.1,442.35,437.95,438.6,378.0,713.0
2016-09-15,438.95,441.6,437.9,440.85,40.0,983.0
2016-09-16,440.25,440.25,435.85,436.75,25.0,967.0
2016-09-19,440.65,442.75,440.65,442.35,12.0,953.0
2016-09-20,441.6,441.6,441.6,442.2,10.0,958.0
2016-09-21,446.75,447.8,445.2,445.25,166.0,957.0
2016-09-22,449.5,453.0,449.5,453.25,26.0,973.0
