Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2015-05-13,129.52,129.76,129.36,129.43,7483.0,43172.0
2015-05-14,129.39,129.52,129.37,129.43,2359.0,43570.0
2015-05-15,129.68,129.68,129.53,129.62,1637.0,44417.0
2015-05-18,129.61,129.63,129.6,129.65,1642.0,45768.0
2015-05-19,129.66,129.97,129.66,129.74,17549.0,54569.0
2015-05-20,129.82,129.9,129.75,129.76,21437.0,72212.0
2015-05-21,129.79,129.83,129.66,129.75,29156.0,89868.0
2015-05-22,129.78,129.88,129.75,129.8,29540.0,110918.0
2015-05-25,0.0,0.0,0.0,129.8,0.0,111060.0
2015-05-26,129.84,130.09,129.82,130.04,66013.0,142969.0
2015-05-27,130.04,130.13,129.94,130.05,67934.0,170112.0
2015-05-28,130.1,130.15,129.99,130.01,59544.0,189593.0
2015-05-29,130.09,130.23,130.07,130.14,83792.0,212424.0
2015-06-01,130.17,130.26,129.87,130.12,391677.0,347657.0
2015-06-02,130.0,130.04,129.47,129.58,637105.0,347657.0
2015-06-03,129.5,129.59,128.8,129.01,794101.0,526048.0
2015-06-04,128.85,129.23,128.45,129.11,838561.0,734334.0
2015-06-05,129.07,129.13,128.68,129.11,664477.0,988939.0
2015-06-08,129.07,129.14,128.88,128.94,392640.0,1069210.0
2015-06-09,128.99,129.03,128.64,128.66,484742.0,1069160.0
2015-06-10,128.65,128.85,128.42,128.64,723612.0,1074359.0
2015-06-11,128.65,129.05,128.58,128.93,567837.0,1096522.0
2015-06-12,129.03,129.2,128.85,129.09,562876.0,1106382.0
2015-06-15,129.16,129.27,129.08,129.14,428814.0,1120278.0
2015-06-16,129.18,129.41,129.14,129.22,537758.0,1134257.0
2015-06-17,129.25,129.37,129.19,129.26,363982.0,1119003.0
2015-06-18,129.49,129.49,129.04,129.26,511941.0,1084687.0
2015-06-19,129.25,129.5,129.21,129.44,458400.0,1080865.0
2015-06-22,129.36,129.37,128.96,128.98,507840.0,1047498.0
2015-06-23,129.01,129.17,128.95,129.12,406955.0,1039642.0
2015-06-24,129.1,129.35,129.1,129.22,425858.0,1015467.0
2015-06-25,129.29,129.33,129.13,129.23,411167.0,1001063.0
2015-06-26,129.27,129.31,128.92,129.01,416971.0,1005349.0
2015-06-29,129.55,129.87,129.31,129.45,541787.0,1001618.0
2015-06-30,129.56,129.72,129.47,129.58,496383.0,994605.0
2015-07-01,129.62,129.74,129.45,129.62,630960.0,1002381.0
2015-07-02,129.62,129.63,129.38,129.58,494501.0,1016209.0
2015-07-03,129.57,129.83,129.57,129.79,280260.0,1032725.0
2015-07-06,130.4,130.53,129.84,129.87,454355.0,1044735.0
2015-07-07,130.05,130.25,129.95,130.2,620521.0,1007027.0
2015-07-08,130.07,130.18,129.92,129.95,597033.0,1001285.0
2015-07-09,129.93,129.99,129.8,129.89,355029.0,940168.0
2015-07-10,129.74,129.77,129.12,129.23,599739.0,925107.0
2015-07-13,129.4,129.53,128.88,129.48,607937.0,937537.0
2015-07-14,129.48,129.62,129.41,129.54,342004.0,953797.0
2015-07-15,129.59,129.87,129.55,129.75,414146.0,937181.0
2015-07-16,129.77,129.83,129.58,129.67,391618.0,941407.0
2015-07-17,129.71,129.91,129.69,129.83,338711.0,952900.0
2015-07-20,129.83,129.99,129.76,129.89,285522.0,954972.0
2015-07-21,129.95,130.02,129.81,129.86,301259.0,959218.0
2015-07-22,129.89,130.02,129.83,129.97,312107.0,963945.0
2015-07-23,129.95,130.06,129.94,130.0,278414.0,973969.0
2015-07-24,130.04,130.16,130.01,130.16,278978.0,985304.0
2015-07-27,130.14,130.21,130.06,130.13,297633.0,979251.0
2015-07-28,130.11,130.2,129.97,130.18,338442.0,983169.0
2015-07-29,130.16,130.22,130.05,130.16,262896.0,981229.0
2015-07-30,130.14,130.38,130.12,130.34,403197.0,987277.0
2015-07-31,130.35,130.37,130.14,130.31,411675.0,1004982.0
2015-08-03,130.3,130.47,130.24,130.38,229653.0,1019684.0
2015-08-04,130.4,130.5,130.3,130.41,333091.0,1019594.0
2015-08-05,130.33,130.39,130.07,130.18,435272.0,1017340.0
2015-08-06,130.17,130.3,130.13,130.23,305982.0,1041067.0
2015-08-07,130.29,130.5,130.24,130.46,298777.0,1051224.0
2015-08-10,130.45,130.45,130.34,130.36,192816.0,1044426.0
2015-08-11,130.42,130.64,130.4,130.62,346931.0,1038079.0
2015-08-12,130.68,130.74,130.58,130.69,398120.0,1030370.0
2015-08-13,130.61,130.68,130.51,130.61,293448.0,1029442.0
2015-08-14,130.63,130.64,130.47,130.52,217113.0,1033150.0
2015-08-17,130.55,130.63,130.48,130.61,239134.0,1037716.0
2015-08-18,130.63,130.64,130.49,130.54,280191.0,1036600.0
2015-08-19,130.56,130.7,130.47,130.57,268984.0,1033249.0
2015-08-20,130.69,130.8,130.64,130.74,371684.0,1036060.0
2015-08-21,130.81,130.83,130.64,130.74,338744.0,1043099.0
2015-08-24,130.84,130.88,130.6,130.69,472994.0,1034029.0
2015-08-25,130.56,130.64,130.12,130.17,661390.0,988282.0
2015-08-26,130.17,130.39,130.17,130.34,463705.0,998158.0
2015-08-27,130.32,130.34,130.21,130.24,428444.0,950743.0
2015-08-28,130.27,130.33,130.13,130.2,349000.0,963996.0
2015-08-31,130.2,130.26,129.9,130.03,356365.0,975801.0
2015-09-01,130.03,130.06,129.89,129.96,637530.0,956982.0
2015-09-02,130.01,130.11,129.94,130.03,910867.0,887419.0
2015-09-03,130.04,130.41,130.04,130.36,815289.0,666751.0
2015-09-04,130.42,130.52,130.34,130.48,843936.0,462532.0
2015-09-07,130.5,130.6,130.45,130.56,244163.0,166215.0
2015-09-08,130.53,130.58,130.45,130.47,29898.0,23992.0
